query_id,answer
438,4308 4286 4234 1909 1901 1899 4400 4396 4403 1918
439,2968 4440 2217 2171 2203 2253 2895 2695 3932 2204
440,4214 2962 4424 3026 4395 3149 2646 4396 2943 4219
441,2646 4219 4389 4440 2220 4397 4523 4313 4331 4234
442,4214 4395 4424 4235 4301 3026 4397 2105 4219 2646
443,4400 4403 2696 1966 2865 4361 3006 4532 2061 3689
444,3314 4214 2698 4451 4447 4366 4290 4209 4227 4549
445,4234 4286 4214 2698 4532 4366 4308 1899 1901 4367
446,4423 4220 4364 4232 4310 4218 2408 4327 4431 4403
447,1958 4400 4387 4532 1909 2696 4361 4219 4234 2408
448,4403 4400 1966 2865 4407 2831 4387 3078 4532 4219
449,4400 4387 4361 4308 4403 4219 1958 4234 2696 2521
450,4219 4361 4331 4366 2521 4234 4229 4379 1966 4502
451,4320 3469 1951 2911 4214 4045 2698 4361 4235 2232
452,4219 2646 2962 3127 4384 2698 4308 4214 4234 4408
453,4389 4384 4531 4219 4303 4010 4322 3750 4440 2646
454,3149 2943 4205 4308 4445 4451 2171 4361 4209 1901
455,1951 2698 4361 4214 4286 4204 4234 2037 4362 4308
456,4361 4406 4379 4303 4218 3844 2865 2696 4214 4234
457,2698 1951 4234 4308 2646 4219 4214 4286 4331 4111
458,4354 4423 4364 4243 4320 4220 4266 4433 4301 4371
459,4423 4364 4232 2917 4220 2914 3056 4372 2908 2909
460,4361 4400 2696 4219 2865 1966 2698 4214 4308 4403
461,4214 4424 4395 3026 3536 4219 2962 3149 4205 2696
462,2196 4234 4304 4408 4433 4327 3043 2222 4414 4354
463,4406 3470 4219 2865 3078 4361 2696 4509 4532 4384
464,4406 2696 2911 3470 4401 4328 4386 2721 2602 2041
465,4532 4403 4407 4400 4361 3844 4387 4308 2408 4358
466,3255 3256 2939 4351 4423 4220 2893 3859 4399 4329
467,4308 4361 4234 2698 4214 1951 4400 4331 4532 4045
468,4008 3536 4445 4307 3595 3777 2968 2219 4178 2171
469,3595 4008 2695 2794 2252 3536 3777 2663 4375 4433
470,4400 2696 3149 4308 4361 2061 2865 4329 2964 4219
471,3580 4276 4204 2095 4373 4180 4310 2097 4006 4304
472,3993 4266 3777 4371 4354 4311 4363 4269 2942 3536
473,4440 1966 2943 4384 4222 4350 4361 4379 3470 4198
474,4320 2698 4234 4308 1951 4214 4286 4361 4367 4045
475,4440 2696 2663 4202 4389 2794 2695 2253 4371 4257
476,2220 4440 4389 2696 4361 4219 2646 4373 4276 3128
477,2695 2663 3128 2968 3431 3552 4363 2253 4008 2863
478,1966 4406 2865 2646 4257 2049 2408 4219 4361 2037
479,4234 4328 4331 1918 1899 4308 2962 4290 2646 2921
480,2696 3470 4400 3078 4406 4219 2865 2886 3056 1966
481,3128 2948 2695 3643 2795 2895 2663 4287 4008 2217
482,1901 4532 1918 2408 4362 1909 4286 1899 4331 1958
483,2962 1907 2918 4234 4408 4153 4396 4367 4431 2920
484,3078 4403 1966 4407 2408 4219 3470 4400 2865 4531
485,1966 4400 4403 4532 4361 2696 4308 4387 2865 2962
486,4308 4396 2698 1901 4387 4403 3149 4234 4329 4354
487,1918 4234 1910 4308 4328 1909 4400 1923 4331 4362
488,3467 4532 1951 4214 2698 3861 4286 4234 4320 4308
489,2698 4214 4219 4361 4308 2646 4366 4532 2962 3478
490,4219 4384 4400 2646 2943 2696 4308 4361 3470 4234
491,4395 4424 4214 4229 2061 4308 4198 2681 4219 4396
492,4387 4219 4400 1966 2865 4361 4308 2408 4331 4408
493,4269 4287 3525 4266 2905 3128 2663 2695 4363 3482
494,2698 4214 4308 4366 4290 4451 2696 4234 4227 4219
495,4364 4423 4220 4207 3536 4371 3661 2668 4232 3786
496,2646 1966 4361 4219 4331 4396 4308 4234 4400 4531
497,4424 4214 4395 2521 2944 2943 2646 4361 4396 4219
498,2865 4400 4532 2943 4361 4308 3843 3149 4408 4234
499,4433 3995 4214 2196 2698 4451 4307 2155 4435 4356
500,4362 4375 4234 4356 4435 4433 4237 4341 4045 4388
